Subject	Regulate	Score	Group
Subject3	Microbe11	0.054442383536294124	Microbe
Subject4	Microbe11	0.05173451045389217	Microbe
Subject5	Microbe11	0.051872096164558255	Microbe
Subject6	Microbe11	0.05182384188506792	Microbe
Subject7	Microbe11	0.05184300876532021	Microbe
Subject8	Microbe11	0.05153697681516673	Microbe
Subject9	Microbe11	0.054173593104391904	Microbe
Subject10	Microbe11	0.05137257224492722	Microbe
Subject11	Microbe11	0.051378357086659276	Microbe
Subject1	Microbe12	0.05187149817656006	Microbe
Subject2	Microbe12	0.0519202894752703	Microbe
Subject3	Microbe12	0.05439939397255597	Microbe
Subject4	Microbe12	0.05183744409750875	Microbe
Subject5	Microbe12	0.05188216432670023	Microbe
Subject6	Microbe12	0.051714850375069454	Microbe
Subject7	Microbe12	0.051950091920747954	Microbe
Subject8	Microbe12	0.05154120810436972	Microbe
Subject9	Microbe12	0.05415043160063215	Microbe
Subject10	Microbe12	0.05137315099901238	Microbe
Subject11	Microbe12	0.0513997478131194	Microbe
Subject1	Microbe13	0.05183919922596643	Microbe
Subject2	Microbe13	0.051848107100501105	Microbe
Subject3	Microbe13	0.05434009284619455	Microbe
Subject4	Microbe13	0.051761408931595934	Microbe
Subject5	Microbe13	0.05169790367570252	Microbe
Subject6	Microbe13	0.05152335335361113	Microbe
Subject7	Microbe13	0.051680172795913026	Microbe
Subject8	Microbe13	0.05056351817112909	Microbe
Subject9	Microbe13	0.05409320941751349	Microbe
Subject10	Microbe13	0.05136556974044737	Microbe
Subject11	Microbe13	0.05135582636030998	Microbe
Subject1	Microbe14	0.05187940429551693	Microbe
Subject2	Microbe14	0.05191777958115957	Microbe
Subject3	Microbe14	0.054404988885108585	Microbe
Subject4	Microbe14	0.051751671817213796	Microbe
Subject5	Microbe14	0.051642679037611376	Microbe
Subject6	Microbe14	0.05171854736405931	Microbe
Subject7	Microbe14	0.051946163027711295	Microbe
Subject8	Microbe14	0.051541106402524364	Microbe
Subject9	Microbe14	0.05417153922534788	Microbe
Subject10	Microbe14	0.05137357957153304	Microbe
Subject11	Microbe14	0.05138621821304307	Microbe
Subject1	Microbe15	0.051881728089676504	Microbe
Subject2	Microbe15	0.05191842111239348	Microbe
Subject3	Microbe15	0.05440337387185887	Microbe
Subject4	Microbe15	0.05184187668073564	Microbe
Subject5	Microbe15	0.05188104759204016	Microbe
Subject6	Microbe15	0.05069629306876553	Microbe
Subject7	Microbe15	0.051941131899725476	Microbe
Subject8	Microbe15	0.051536986745472746	Microbe
Subject9	Microbe15	0.05417357405722391	Microbe
Subject10	Microbe15	0.05137242958623643	Microbe
Subject11	Microbe15	0.051378269405711566	Microbe
Subject1	Microbe16	0.051884021883187866	Microbe
Subject2	Microbe16	0.05191924499718562	Microbe
Subject3	Microbe16	0.05441094518056339	Microbe
Subject4	Microbe16	0.05182664227710899	Microbe
Subject5	Microbe16	0.051876495578160944	Microbe
Subject6	Microbe16	0.051691831653693995	Microbe
Subject7	Microbe16	0.05192321277779677	Microbe
Subject8	Microbe16	0.0515369750947458	Microbe
Subject9	Microbe16	0.05417345483692882	Microbe
Subject10	Microbe16	0.05137245867124259	Microbe
Subject11	Microbe16	0.051378302755241474	Microbe
Subject1	Microbe17	0.05188180859500495	Microbe
Subject2	Microbe17	0.05191837202509009	Microbe
Subject3	Microbe17	0.054403452214455965	Microbe
Subject4	Microbe17	0.05184285580726293	Microbe
Subject5	Microbe17	0.05188342480144812	Microbe
Subject6	Microbe17	0.05171339643599489	Microbe
Subject7	Microbe17	0.05195003485694892	Microbe
Subject8	Microbe17	0.051536969504523876	Microbe
Subject9	Microbe17	0.054173593958806256	Microbe
Subject10	Microbe17	0.051372428128228294	Microbe
Subject11	Microbe17	0.05137824666699695	Microbe
Subject1	Microbe18	0.051881825814707724	Microbe
Subject2	Microbe18	0.05191750949668624	Microbe
Subject3	Microbe18	0.05440358287635401	Microbe
Subject4	Microbe18	0.05181659289039959	Microbe
Subject5	Microbe18	0.051880568550275806	Microbe
