Subject	Regulate	Score	Group
Subject17	Microbe6	0.04559174393004735	Microbe
Subject18	Microbe6	0.03802866763537775	Microbe
Subject19	Microbe6	0.04643886693415643	Microbe
Subject1	Microbe7	0.03933506573256955	Microbe
Subject2	Microbe7	0.05125479549473757	Microbe
Subject3	Microbe7	0.05166526511958115	Microbe
Subject4	Microbe7	0.05129173145239656	Microbe
Subject5	Microbe7	0.05104176505015265	Microbe
Subject6	Microbe7	0.051228505607295055	Microbe
Subject7	Microbe7	0.05096482672080729	Microbe
Subject8	Microbe7	0.05131704096355965	Microbe
Subject9	Microbe7	0.05067674086533337	Microbe
Subject10	Microbe7	0.04594868058926477	Microbe
Subject11	Microbe7	0.04693361430184648	Microbe
Subject12	Microbe7	0.04741893290329498	Microbe
Subject13	Microbe7	0.04799747871610032	Microbe
Subject14	Microbe7	0.04286405316096932	Microbe
Subject15	Microbe7	0.05130919816315726	Microbe
Subject16	Microbe7	0.05137626700285555	Microbe
Subject17	Microbe7	0.051283694883984626	Microbe
Subject18	Microbe7	0.051162341108798554	Microbe
Subject19	Microbe7	0.05127594458067166	Microbe
Subject1	Microbe8	0.04122548734632855	Microbe
Subject2	Microbe8	0.053773496092048505	Microbe
Subject3	Microbe8	0.05196024896698102	Microbe
Subject4	Microbe8	0.04736375414449815	Microbe
Subject5	Microbe8	0.05129862057333226	Microbe
Subject6	Microbe8	0.05113881977196604	Microbe
Subject7	Microbe8	0.049238508416952084	Microbe
Subject8	Microbe8	0.050442841087293	Microbe
Subject9	Microbe8	0.051372864625924754	Microbe
Subject10	Microbe8	0.0512057118063664	Microbe
Subject11	Microbe8	0.051301700363323696	Microbe
Subject12	Microbe8	0.05134819156474478	Microbe
Subject13	Microbe8	0.051282212065883966	Microbe
Subject14	Microbe8	0.05045463271212569	Microbe
Subject15	Microbe8	0.05138031988565967	Microbe
Subject16	Microbe8	0.0513948317762561	Microbe
Subject17	Microbe8	0.0513518019289468	Microbe
Subject18	Microbe8	0.05139343576796193	Microbe
Subject19	Microbe8	0.05135032740241984	Microbe
Subject1	Microbe9	0.04100334383578476	Microbe
Subject2	Microbe9	0.05189555217497313	Microbe
Subject3	Microbe9	0.0518699286414406	Microbe
Subject4	Microbe9	0.04981766425338801	Microbe
Subject5	Microbe9	0.05139386218199274	Microbe
Subject6	Microbe9	0.051444095024254635	Microbe
Subject7	Microbe9	0.050986095336703494	Microbe
Subject8	Microbe9	0.05147034896165599	Microbe
Subject9	Microbe9	0.05151386401019464	Microbe
Subject10	Microbe9	0.05086391714125739	Microbe
Subject11	Microbe9	0.050582403028989795	Microbe
Subject12	Microbe9	0.05092004979663961	Microbe
Subject13	Microbe9	0.05017936887279814	Microbe
Subject14	Microbe9	0.04998765002377708	Microbe
Subject15	Microbe9	0.042469049536824025	Microbe
Subject16	Microbe9	0.04038903905884611	Microbe
Subject17	Microbe9	0.04395635184915852	Microbe
Subject18	Microbe9	0.045727358866252635	Microbe
Subject19	Microbe9	0.042286358947587296	Microbe
Subject1	Microbe10	0.04052423910257208	Microbe
Subject2	Microbe10	0.051208410804644916	Microbe
Subject3	Microbe10	0.05167182967140601	Microbe
Subject4	Microbe10	0.05028346834235635	Microbe
Subject5	Microbe10	0.05102768225471497	Microbe
Subject6	Microbe10	0.050999439074464685	Microbe
Subject7	Microbe10	0.050251388771856205	Microbe
Subject8	Microbe10	0.050873505326444045	Microbe
Subject9	Microbe10	0.050943357739804115	Microbe
Subject10	Microbe10	0.051166415286046464	Microbe
Subject11	Microbe10	0.05124778425478337	Microbe
Subject12	Microbe10	0.05138222111036949	Microbe
Subject13	Microbe10	0.051301795194070576	Microbe
