Subject	Regulate	Score	Group
Subject9	Microbe8	0.05178015212366126	Microbe
Subject10	Microbe8	0.05065722754761053	Microbe
Subject11	Microbe8	0.051567988681558465	Microbe
Subject12	Microbe8	0.051461839078759196	Microbe
Subject13	Microbe8	0.05161989005912885	Microbe
Subject14	Microbe8	0.05191331811146737	Microbe
Subject15	Microbe8	0.051415690749723755	Microbe
Subject16	Microbe8	0.05270943963909344	Microbe
Subject17	Microbe8	0.052192212429233394	Microbe
Subject1	Microbe9	0.05143786585884092	Microbe
Subject2	Microbe9	0.05133743146356441	Microbe
Subject3	Microbe9	0.05216590665382916	Microbe
Subject4	Microbe9	0.05187658649220172	Microbe
Subject5	Microbe9	0.0517677130885946	Microbe
Subject6	Microbe9	0.0514220037784286	Microbe
Subject7	Microbe9	0.05136092875449252	Microbe
Subject8	Microbe9	0.049141004468098624	Microbe
Subject9	Microbe9	0.05100527970942526	Microbe
Subject10	Microbe9	0.050285549952551405	Microbe
Subject11	Microbe9	0.05073993560306976	Microbe
Subject12	Microbe9	0.051819801840703374	Microbe
Subject13	Microbe9	0.04548933329817148	Microbe
Subject14	Microbe9	0.048148873532986504	Microbe
Subject15	Microbe9	0.04324567251551715	Microbe
Subject16	Microbe9	0.052286153210730206	Microbe
Subject17	Microbe9	0.05059759205809656	Microbe
Subject1	Microbe10	0.052988725637431365	Microbe
Subject2	Microbe10	0.05131378700064393	Microbe
Subject3	Microbe10	0.05002175581691343	Microbe
Subject4	Microbe10	0.050015093068804646	Microbe
Subject5	Microbe10	0.050845498645401	Microbe
Subject6	Microbe10	0.051355050935579634	Microbe
Subject7	Microbe10	0.0510830141448205	Microbe
Subject8	Microbe10	0.05032856611557733	Microbe
Subject9	Microbe10	0.04984880935633547	Microbe
Subject10	Microbe10	0.051693377286940054	Microbe
Subject11	Microbe10	0.05036624550526056	Microbe
Subject12	Microbe10	0.04948369560956373	Microbe
Subject13	Microbe10	0.05178793201385373	Microbe
Subject14	Microbe10	0.05112755432094027	Microbe
Subject15	Microbe10	0.05128160223545518	Microbe
Subject16	Microbe10	0.05222425686643319	Microbe
Subject17	Microbe10	0.05102016473350861	Microbe
Subject1	Microbe11	0.04832675003460888	Microbe
Subject2	Microbe11	0.05100129338601188	Microbe
Subject3	Microbe11	0.022274489036586388	Microbe
Subject4	Microbe11	0.03218969603951261	Microbe
Subject5	Microbe11	0.035331675877093634	Microbe
Subject6	Microbe11	0.05139611346844218	Microbe
Subject7	Microbe11	0.039559146061166284	Microbe
Subject8	Microbe11	0.05116895920178768	Microbe
Subject9	Microbe11	0.05172232846622011	Microbe
Subject10	Microbe11	0.05125391950245907	Microbe
Subject11	Microbe11	0.051606175465135934	Microbe
Subject12	Microbe11	0.05148016161621889	Microbe
Subject13	Microbe11	0.05161818541338787	Microbe
Subject14	Microbe11	0.05190978902656188	Microbe
Subject15	Microbe11	0.05141349877257838	Microbe
Subject16	Microbe11	0.0527025714702921	Microbe
Subject17	Microbe11	0.05218738467024554	Microbe
Subject1	Microbe12	0.05047495270312507	Microbe
Subject2	Microbe12	0.05091071073207981	Microbe
Subject3	Microbe12	0.05216195483812033	Microbe
Subject4	Microbe12	0.05187821306299491	Microbe
Subject5	Microbe12	0.05175215049793003	Microbe
Subject6	Microbe12	0.04993409798029652	Microbe
Subject7	Microbe12	0.048277709530519144	Microbe
Subject8	Microbe12	0.049367630719020214	Microbe
Subject9	Microbe12	0.05079715782275954	Microbe
Subject10	Microbe12	0.05046645574943521	Microbe
Subject11	Microbe12	0.05040742254524117	Microbe
Subject12	Microbe12	0.04756310336231412	Microbe
Subject13	Microbe12	0.04771208521007952	Microbe
